binning,bin,block,sample,block_meaning,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout
stage,endgame,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,159,84,177,113,0.010723055426973715,-0.007778944722087089,0.038350483236312426,-0.0032727116871921202,-0.03318453601289701,0.03610342306799888
stage,endgame,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,159,84,177,113,0.01411794259571475,-0.003969073754645233,0.033786507111821795,0.01873168338848563,-0.010056004634145577,0.049974863188843456
stage,endgame,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,159,84,177,113,0.017920718974209993,-0.023277839953751798,0.0950292720467673,-0.04990435973255003,-0.11127671368092798,0.01451632384947887
round_bin,round 2,pre,talkers,"this round, before the outcome",elastic net,rules+timing,79,79,85,85,-0.04817887631474904,-0.13459864116117098,0.0270243059591915,-0.03415179211873354,-0.07325778847939551,-0.004599030791239695
round_bin,round 2,post,talkers,"last round, after the outcome",elastic net,rules+timing,79,79,85,85,-0.031229957227055127,-0.08416588469592837,0.006239665268107421,0.0,0.0,0.0
round_bin,round 2,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,79,79,85,85,-0.008301064895313237,-0.07490471604967607,0.06444579870998163,-0.09296944386623873,-0.2829783364458221,0.028065254850138926
round_bin,round 2,cumulative,talkers,every message so far this game,elastic net,rules+timing,79,79,85,85,-0.02758402321070763,-0.09069417420950471,0.031587996311217996,0.0,0.0,0.0
round_bin,round 2,pre,talkers,"this round, before the outcome",random forest,rules+timing,79,79,85,85,-0.011474088603258936,-0.03979493269713315,0.013236854474073205,-0.02741836420010768,-0.0603473948765412,0.006808353208429525
round_bin,round 2,post,talkers,"last round, after the outcome",random forest,rules+timing,79,79,85,85,-0.012003492661448956,-0.10704921820507629,0.07848989217125199,0.02612649151937474,-0.033317577660964014,0.08479407928848694
round_bin,round 2,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,79,79,85,85,-0.00417406977030832,-0.06641978748898975,0.051422192612164415,0.0009488418107164165,-0.042321780140986254,0.04157526273637361
round_bin,round 2,cumulative,talkers,every message so far this game,random forest,rules+timing,79,79,85,85,-0.012956657470925448,-0.09079600612285695,0.05704275376499305,0.023171559996876145,-0.024494129586440087,0.07699121779915032
round_bin,round 2,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,79,79,85,85,-0.15231097226342138,-0.2601952012760971,-0.07055463389496267,-0.0489734034679119,-0.09498906238180563,0.01788573609003998
round_bin,round 2,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,79,79,85,85,0.01524088509306698,-0.15835184852804415,0.171343123551991,0.042032562948723595,-0.12349736662143203,0.1736934839975611
round_bin,round 2,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,79,79,85,85,-0.12268649390197328,-0.3025489861496778,0.01485270238931357,-0.03742436628695622,-0.16829885963842228,0.0648541531429574
round_bin,round 2,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,79,79,85,85,-0.01351124674795745,-0.15157257690190412,0.10598511378062457,0.016040976931365192,-0.11416202377537585,0.11720365640623083
round_bin,round 2,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,79,79,85,85,-0.01901436697734593,-0.043761480879683894,0.003287163269147396,-0.0016745689585337953,-0.028494867562999883,0.028381467248541417
round_bin,round 2,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,79,79,85,85,-0.009772567592832626,-0.1001318347358549,0.07152368312192794,0.018444335769491782,-0.030590276673211413,0.06119787155194853
round_bin,round 2,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,79,79,85,85,-0.01758256669752578,-0.07376192645101531,0.03777356494833175,-0.0015975897608111467,-0.03651314359175536,0.028901805042298185
round_bin,round 2,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,79,79,85,85,0.00394565100377775,-0.07087537336340725,0.06991839307878799,0.021017224951754954,-0.019547634450751233,0.061066583926303916
round_bin,round 3,pre,talkers,"this round, before the outcome",elastic net,rules+timing,80,80,84,84,-0.018080089288394774,-0.090312886203375,0.04546614639868277,0.0,0.0,0.0
round_bin,round 3,post,talkers,"last round, after the outcome",elastic net,rules+timing,80,80,84,84,0.0023636922306453645,-0.04500495913628527,0.06069234960429064,0.0,0.0,0.0
