binning,bin,block,sample,block_meaning,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout
round_bin,rounds 11+,pre,talkers,"this round, before the outcome",random forest,rules+timing,422,79,458,118,0.03572893387896925,0.010708530883580215,0.08772569641279275,2.220446049250313e-16,-2.220446049250313e-16,6.661338147750939e-16
round_bin,rounds 11+,post,talkers,"last round, after the outcome",random forest,rules+timing,422,79,458,118,0.0010156251328292676,-0.012749573764544353,0.06989880572762049,0.0,0.0,0.0
round_bin,rounds 11+,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,422,79,458,118,0.013336236977545823,-0.021255649867583024,0.06618942277193204,0.0,0.0,0.0
round_bin,rounds 11+,cumulative,talkers,every message so far this game,random forest,rules+timing,422,79,458,118,-0.09474250785777594,-0.33386694533068884,0.006234895153868521,-0.020288636905543944,-0.12270562701706875,0.07976609377048796
round_bin,rounds 11+,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,422,79,458,118,0.0006111542979382323,-0.00624383940731135,0.015335977007226382,-0.00378753866003112,-0.014581795010770383,0.006467483858545162
round_bin,rounds 11+,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,422,79,458,118,-0.0008432841327866702,-0.010660546001633778,0.011791818060067275,0.001675075390683456,-0.0034852063395245407,0.006625930918185981
round_bin,rounds 11+,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,422,79,458,118,-0.004257074331302735,-0.009105765307403129,0.021341864692208147,-0.010953203796985611,-0.02274624684761397,-0.0006421254286562705
round_bin,rounds 11+,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,422,79,458,118,-0.010041705897192443,-0.01863511273308567,0.03224833854030043,0.0084856464857328,-0.0021835004375762687,0.021979064629174344
round_bin,rounds 11+,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,422,79,458,118,0.09589264658435215,0.02818896965828478,0.15815564663256615,0.013386754692229053,-3.271146489310085e-05,0.023618740908241183
round_bin,rounds 11+,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,422,79,458,118,0.08642788207982033,0.02479214563217619,0.19400601477247445,0.015508708833187002,-0.002917092959085016,0.030068716079477517
round_bin,rounds 11+,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,422,79,458,118,0.09297040302798787,0.031049966313492192,0.18467209765854214,0.017835417087324168,-0.0018077286358855996,0.03202682216787257
round_bin,rounds 11+,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,422,79,458,118,0.10114873498366195,-0.08105239978489527,0.4645672774355735,-0.13915973459625441,-0.22135733425479442,-0.05016511595464068
