binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
stage,opening,talkers,pre,cumulative,True,elastic net,rules+timing,151,93,169,123,-0.1697957099679367,-0.33693185561077826,0.014364234593733457,-0.09761397523235471,-0.28260034848485327,0.08003827315064284
stage,opening,talkers,post,window,True,elastic net,rules+timing,151,93,169,123,-0.002162212146724074,-0.07435593913007445,0.0722351333363024,0.04503932983295911,0.011942517765711674,0.08195228022450358
stage,opening,talkers,post,cumulative,True,elastic net,rules+timing,151,93,169,123,-0.11339248165273053,-0.1936414822184483,-0.01710575731595875,-0.0666465448567155,-0.22241052331969707,0.08677668953089293
stage,opening,talkers,window,cumulative,True,elastic net,rules+timing,151,93,169,123,-0.11123026950600645,-0.18932205529626434,-0.02301199930399501,-0.11168587468967461,-0.25578384898547807,0.03761459172309638
stage,opening,talkers,pre,post,False,random forest,rules+timing,151,93,169,123,-0.09606616913743427,-0.18507282303976622,-0.0002461483647303032,-0.08255143198669479,-0.14948085271818212,-0.0071213117729451506
stage,opening,talkers,pre,window,True,random forest,rules+timing,151,93,169,123,-0.05341239547225329,-0.12469741134239633,0.020798587702878228,-0.0505136849370702,-0.1142446564588851,0.010096810716689329
stage,opening,talkers,pre,cumulative,True,random forest,rules+timing,151,93,169,123,-0.10223661125586891,-0.20563821334539178,-1.4060975259670115e-05,-0.10120157780265737,-0.17234187003139498,-0.02145965718152009
stage,opening,talkers,post,window,True,random forest,rules+timing,151,93,169,123,0.04265377366518097,-0.014675462389272385,0.10217688795744545,0.03203774704962459,-0.027082189017896652,0.08490022624945524
stage,opening,talkers,post,cumulative,True,random forest,rules+timing,151,93,169,123,-0.006170442118434649,-0.09703333698320403,0.07875991924205895,-0.018650145815962582,-0.07103535412887534,0.028479315428692472
stage,opening,talkers,window,cumulative,True,random forest,rules+timing,151,93,169,123,-0.04882421578361562,-0.12988080630469254,0.03620249433257565,-0.05068789286558717,-0.09004808802077192,-0.008014462702958554
stage,opening,talkers,pre,post,False,elastic net,rules+timing+momentum,151,93,169,123,0.010653503729898262,-0.06225956432363879,0.09099103321931033,-0.03390165864748429,-0.09676743814545247,0.015005379259065489
stage,opening,talkers,pre,window,True,elastic net,rules+timing+momentum,151,93,169,123,-0.0113628447137325,-0.08602327961827977,0.0661370349101515,0.01731353124934687,-0.04716278748998677,0.06655332702982932
stage,opening,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,151,93,169,123,-0.044405082667101525,-0.1189149835108372,0.031217532129853665,-0.0021671310969847424,-0.0952524401850081,0.07766456132667933
stage,opening,talkers,post,window,True,elastic net,rules+timing+momentum,151,93,169,123,-0.022016348443630762,-0.059199030058990444,0.019536084647273785,0.05121518989683116,0.016963015518499498,0.0762540491668834
stage,opening,talkers,post,cumulative,True,elastic net,rules+timing+momentum,151,93,169,123,-0.05505858639699979,-0.10571942215798122,-0.007334150107022813,0.03173452755049955,-0.020976065285216193,0.08201896614852758
stage,opening,talkers,window,cumulative,True,elastic net,rules+timing+momentum,151,93,169,123,-0.033042237953369025,-0.07504985460061471,0.006481044488448043,-0.019480662346331612,-0.06963495716111824,0.039303850262921276
stage,opening,talkers,pre,post,False,random forest,rules+timing+momentum,151,93,169,123,-0.04184282009383322,-0.12042441392438442,0.04431023592173627,-0.05640996839387846,-0.09712463064078537,-0.010847391785270489
stage,opening,talkers,pre,window,True,random forest,rules+timing+momentum,151,93,169,123,-0.022377480965189878,-0.08673895043482488,0.04485769330441999,-0.021733571434379706,-0.06154265236180841,0.01433772876546445
stage,opening,talkers,pre,cumulative,True,random forest,rules+timing+momentum,151,93,169,123,-0.058200950010038444,-0.12900614671187793,0.02295748296465481,-0.05381906077362231,-0.0961988428328801,-0.0069648553009586875
stage,opening,talkers,post,window,True,random forest,rules+timing+momentum,151,93,169,123,0.019465339128643344,-0.02368985271488818,0.0648546546685417,0.034676396959498756,-0.0017010400269390294,0.0682948498401559
stage,opening,talkers,post,cumulative,True,random forest,rules+timing+momentum,151,93,169,123,-0.016358129916205222,-0.06273205124521018,0.030833376419138653,0.0025909076202561554,-0.03039347040592629,0.03508578681789736
stage,opening,talkers,window,cumulative,True,random forest,rules+timing+momentum,151,93,169,123,-0.035823469044848566,-0.06804833819756381,0.0002990195539934596,-0.0320854893392426,-0.05664550765009715,-0.0017528539496514616
stage,middle,talkers,pre,post,False,elastic net,rules+timing,647,103,704,151,0.025364321195652906,-0.029738396159078927,0.07006258114056473,-0.005013568681328406,-0.04729067885484505,0.03883922439988938
stage,middle,talkers,pre,window,True,elastic net,rules+timing,647,103,704,151,0.022975837419296097,-0.037389775073587664,0.062258679886653186,-0.047148526795053325,-0.09768292779764239,-0.0024677705161832778
stage,middle,talkers,pre,cumulative,True,elastic net,rules+timing,647,103,704,151,0.01701759359741284,-0.41975855572288207,0.15246323041942197,-0.1163015058082959,-0.3450015053007691,0.04543056067634493
stage,middle,talkers,post,window,True,elastic net,rules+timing,647,103,704,151,-0.002388483776356809,-0.04841959264151592,0.028456896346662732,-0.04213495811372492,-0.10362590677772163,0.008211611327171964
stage,middle,talkers,post,cumulative,True,elastic net,rules+timing,647,103,704,151,-0.008346727598240067,-0.41036358348746693,0.11115097184721058,-0.1112879371269675,-0.3348836153494219,0.038447603908942196
stage,middle,talkers,window,cumulative,True,elastic net,rules+timing,647,103,704,151,-0.005958243821883258,-0.399553102045169,0.11523598997630406,-0.06915297901324258,-0.25163262820987614,0.08268168888004054
stage,middle,talkers,pre,post,False,random forest,rules+timing,647,103,704,151,0.010838469196708278,-0.024807367870469447,0.04475785837785498,-0.0056080380229565074,-0.012122129059060464,0.0010332474056688591
stage,middle,talkers,pre,window,True,random forest,rules+timing,647,103,704,151,0.006556878064517768,-0.007084041487591589,0.05843465523219775,-0.00876657572057693,-0.015487551943735004,-0.001187377637089818
stage,middle,talkers,pre,cumulative,True,random forest,rules+timing,647,103,704,151,0.08723195100654402,-0.0932629500101611,0.1597782083995944,0.013504521723957552,-0.06001280511190581,0.07969439802583052
stage,middle,talkers,post,window,True,random forest,rules+timing,647,103,704,151,-0.00428159113219051,-0.017996598502495,0.037882577427237794,-0.0031585376976204227,-0.007024879292295022,0.0010745329429570694
stage,middle,talkers,post,cumulative,True,random forest,rules+timing,647,103,704,151,0.07639348180983574,-0.1188210236926677,0.14727897442328325,0.01911255974691406,-0.04296691508107673,0.08359749284728703
stage,middle,talkers,window,cumulative,True,random forest,rules+timing,647,103,704,151,0.08067507294202625,-0.14231460573149973,0.16530882221043794,0.022271097444534482,-0.046162058649083654,0.08746942303209737
