comparison,binning,block_a,block_b,bin_a,bin_b,n_features,coef_correlation,n_sig_a,n_sig_b,n_sig_both,n_sig_both_same_sign,n_rounds,n_games,n_rounds_heldout,n_games_heldout,n_rounds_a,n_games_a,n_rounds_b,n_games_b
bins within block,round_bin,window,window,round 2,rounds 7-10,149,-0.33476218144903824,19,7,0,0,118,118,159,159,118,118,344,109
bins within block,round_bin,window,window,round 2,rounds 11+,149,-0.5375126158403749,19,30,4,0,118,118,159,159,118,118,715,90
bins within block,round_bin,window,window,round 3,rounds 4-6,151,0.3299578230592777,25,16,1,1,117,117,157,157,117,117,306,121
bins within block,round_bin,window,window,round 3,rounds 7-10,151,-0.2772505264466037,25,7,0,0,117,117,157,157,117,117,344,109
bins within block,round_bin,window,window,round 3,rounds 11+,151,-0.5469798423950015,25,30,7,0,117,117,157,157,117,117,715,90
bins within block,round_bin,window,window,rounds 4-6,rounds 7-10,151,0.13041329668585977,16,7,2,2,306,121,447,197,306,121,344,109
bins within block,round_bin,window,window,rounds 4-6,rounds 11+,151,0.01077134720311233,16,30,4,3,306,121,447,197,306,121,715,90
bins within block,round_bin,window,window,rounds 7-10,rounds 11+,151,0.5511638299476823,7,30,1,1,344,109,434,164,344,109,715,90
bins within block,stage,cumulative,cumulative,opening,middle,147,0.2590015839717487,64,8,3,3,330,128,473,188,330,128,1589,130
bins within block,stage,cumulative,cumulative,opening,endgame,147,0.3900345092878009,64,23,7,6,330,128,473,188,330,128,440,148
bins within block,stage,cumulative,cumulative,middle,endgame,145,0.6596784052766944,8,23,3,3,440,148,694,233,1589,130,440,148
bins within block,stage,post,post,opening,middle,151,-0.17923518706638303,54,15,4,4,204,117,260,162,204,117,1023,116
bins within block,stage,post,post,opening,endgame,151,-0.2929734910674135,54,13,2,0,204,117,260,162,204,117,260,112
bins within block,stage,post,post,middle,endgame,151,0.47721429626967904,15,13,1,1,260,112,364,173,1023,116,260,112
bins within block,stage,pre,pre,opening,middle,151,-0.42207928243846954,17,50,3,0,257,120,341,173,257,120,715,108
bins within block,stage,pre,pre,opening,endgame,151,0.007700564389268973,17,7,0,0,190,100,224,137,257,120,190,100
bins within block,stage,pre,pre,middle,endgame,151,0.12314059377424054,50,7,3,3,190,100,224,137,715,108,190,100
bins within block,stage,window,window,opening,middle,151,-0.5430604688340609,51,9,3,1,310,128,432,188,310,128,1091,117
bins within block,stage,window,window,opening,endgame,151,-0.3736907606080425,51,22,4,0,291,117,411,185,310,128,291,117
bins within block,stage,window,window,middle,endgame,151,0.4666953483386719,9,22,1,1,291,117,411,185,1091,117,291,117
